#{"t_start": 1744343419.329731, "env_id": "None"}
r,l,t
13.0,65,0.822606
16.0,69,0.865259
141.0,76,0.91137
16.0,59,0.945478
21.0,59,0.981536
17.0,71,1.023516
20.0,68,1.064876
29.0,67,1.107188
15.0,62,1.143161
44.0,82,1.190754
20.0,72,1.232925
23.0,62,1.270078
29.0,69,1.312566
12.0,53,1.343637
21.0,76,1.389756
37.0,68,1.431392
16.0,65,1.469513
13.0,65,1.511193
21.0,71,1.554122
10.0,66,1.595108
14.0,61,1.632036
17.0,65,1.669839
20.0,70,1.712464
10.0,62,1.748254
21.0,65,1.789568
27.0,62,1.829302
32.0,72,1.871409
10.0,63,1.91082
14.0,63,1.948394
12.0,59,1.983605
11.0,58,2.018897
56.0,84,3.982348
25.0,66,4.021527
25.0,76,4.065098
15.0,69,4.104957
43.0,81,4.155362
25.0,66,4.194063
21.0,63,4.232163
38.0,79,4.278385
26.0,67,4.316334
37.0,72,4.359344
16.0,65,4.395291
33.0,69,4.434971
11.0,60,4.468521
16.0,63,4.503414
40.0,80,4.549462
28.0,75,4.591227
30.0,68,4.628564
9.0,57,4.662061
26.0,65,4.711758
39.0,76,4.760454
30.0,78,4.805768
20.0,65,4.842059
29.0,76,4.88615
25.0,71,4.925178
29.0,80,4.971093
34.0,76,5.014108
20.0,68,5.05179
12.0,69,5.092281
39.0,74,6.688959
38.0,79,6.736185
38.0,78,6.788394
25.0,70,6.838156
19.0,64,6.879564
26.0,76,6.927826
31.0,75,6.974412
42.0,75,7.018709
38.0,74,7.061168
25.0,75,7.103052
25.0,62,7.13894
22.0,70,7.179999
24.0,71,7.220567
11.0,59,7.253307
49.0,76,7.296116
20.0,69,7.334276
37.0,77,7.37791
24.0,73,7.418829
16.0,72,7.462882
20.0,66,7.501777
36.0,75,7.545877
15.0,61,7.582086
17.0,71,7.622211
26.0,80,7.666567
38.0,69,7.706405
29.0,73,7.748018
44.0,72,7.7899
28.0,73,7.831311
35.0,70,7.870008
34.0,73,9.456234
25.0,71,9.498172
65.0,86,9.546483
17.0,57,9.580304
270.0,92,9.632566
47.0,73,9.674666
25.0,70,9.721967
30.0,77,9.776596
56.0,76,9.820806
62.0,84,9.869103
42.0,73,9.912328
38.0,73,9.953249
24.0,72,9.995203
18.0,79,10.040712
27.0,77,10.085527
32.0,76,10.129739
51.0,70,10.168749
29.0,79,10.214265
13.0,72,10.25546
166.0,74,10.298007
63.0,81,10.344558
21.0,75,10.386371
23.0,71,10.429123
34.0,81,10.474852
22.0,69,10.515723
37.0,80,10.561978
26.0,79,10.607284
30.0,81,12.307871
25.0,71,12.350048
39.0,69,12.389729
183.0,84,12.443088
30.0,75,12.487082
33.0,83,12.536925
53.0,93,12.590086
47.0,73,12.633208
39.0,72,12.674489
138.0,82,12.722423
26.0,74,12.76479
30.0,74,12.805823
64.0,85,12.85777
38.0,76,12.902462
50.0,89,12.95579
22.0,61,12.990416
147.0,83,13.038502
62.0,85,13.087291
35.0,83,13.135214
33.0,66,13.173095
26.0,74,13.214952
66.0,95,13.27059
44.0,70,13.309705
49.0,77,13.356305
23.0,63,13.39221
51.0,82,13.437731
39.0,73,15.085324
46.0,81,15.134444
51.0,85,15.185856
50.0,86,15.23683
60.0,81,15.286908
68.0,88,15.338739
64.0,77,15.385562
29.0,72,15.427119
29.0,76,15.472084
63.0,82,15.519505
82.0,100,15.579353
54.0,73,15.621303
21.0,72,15.663445
43.0,75,15.709345
62.0,74,15.751097
19.0,69,15.791814
46.0,78,15.90536
40.0,75,16.014963
42.0,79,16.118792
51.0,77,16.173318
42.0,77,16.244335
26.0,75,16.2863
157.0,82,16.336375
57.0,78,16.380301
173.0,86,16.431575
63.0,82,16.47842
51.0,78,18.082533
170.0,86,18.134876
35.0,73,18.174987
48.0,80,18.220615
53.0,83,18.266002
180.0,89,18.315997
153.0,94,18.367646
38.0,77,18.409645
42.0,85,18.457384
45.0,79,18.500545
