#{"t_start": 1744343419.331477, "env_id": "None"}
r,l,t
16.0,66,0.821542
30.0,72,0.865951
20.0,64,0.903922
8.0,60,0.939244
35.0,68,0.981009
17.0,64,1.018907
14.0,60,1.054898
24.0,62,1.093789
18.0,68,1.134488
11.0,66,1.172713
19.0,73,1.21563
8.0,62,1.251243
7.0,61,1.289397
16.0,64,1.327883
15.0,61,1.363843
8.0,55,1.398449
24.0,70,1.440345
16.0,70,1.481707
11.0,58,1.518583
40.0,62,1.556393
53.0,82,1.60723
10.0,62,1.644448
12.0,63,1.68098
14.0,65,1.720213
12.0,65,1.758242
29.0,72,1.80603
19.0,67,1.846108
26.0,69,1.886849
13.0,61,1.925388
19.0,68,1.965844
13.0,66,2.004272
15.0,64,3.958208
21.0,65,3.995402
18.0,76,4.040721
25.0,70,4.081044
38.0,73,4.124944
22.0,77,4.171045
31.0,75,4.215955
30.0,80,4.263063
26.0,75,4.305883
14.0,61,4.342497
31.0,65,4.379218
24.0,71,4.418182
53.0,78,4.463532
32.0,69,4.501692
16.0,67,4.540119
129.0,69,4.578578
130.0,74,4.619747
49.0,83,4.667543
24.0,68,4.723636
19.0,64,4.761
163.0,81,4.808028
10.0,58,4.840333
19.0,66,4.878924
48.0,73,4.919072
17.0,61,4.953409
25.0,74,4.996239
17.0,71,5.035807
34.0,76,5.07978
17.0,68,5.117667
33.0,68,6.712732
47.0,74,6.757838
12.0,60,6.801805
19.0,68,6.849164
32.0,72,6.893647
39.0,76,6.943052
21.0,75,6.989364
41.0,77,7.032516
16.0,70,7.073117
46.0,81,7.117785
22.0,72,7.160698
21.0,60,7.1955
27.0,76,7.238337
32.0,69,7.2775
46.0,74,7.318314
29.0,64,7.353373
20.0,75,7.39626
54.0,74,7.439079
17.0,70,7.481713
51.0,78,7.528011
28.0,72,7.569603
47.0,78,7.614803
48.0,86,7.662606
24.0,63,7.699161
18.0,59,7.732757
34.0,76,7.776686
22.0,69,7.816138
18.0,73,7.856812
54.0,81,9.446018
17.0,72,9.489353
25.0,73,9.530841
33.0,73,9.573121
50.0,73,9.615286
16.0,65,9.651347
41.0,74,9.697229
41.0,77,9.754799
18.0,67,9.795031
41.0,89,9.847195
25.0,75,9.890777
26.0,76,9.93434
25.0,72,9.975372
67.0,84,10.024466
41.0,79,10.069288
36.0,74,10.113403
45.0,78,10.157109
37.0,85,10.205366
70.0,79,10.250967
50.0,80,10.296895
25.0,74,10.339448
40.0,73,10.380217
21.0,67,10.419998
27.0,74,10.462685
31.0,70,10.50283
26.0,70,10.543672
22.0,70,10.584098
47.0,83,12.284132
24.0,83,12.33496
29.0,76,12.378953
49.0,84,12.429999
54.0,73,12.475211
35.0,75,12.519726
46.0,83,12.568072
31.0,75,12.611354
61.0,87,12.662048
18.0,73,12.703211
28.0,75,12.748081
33.0,79,12.79182
52.0,84,12.842238
43.0,79,12.889162
170.0,83,12.938935
40.0,70,12.979305
38.0,77,13.023087
160.0,85,13.072551
55.0,78,13.11677
37.0,79,13.163017
41.0,75,13.205027
139.0,77,13.250415
53.0,81,13.296403
31.0,69,13.334496
34.0,73,13.379821
26.0,82,13.425289
53.0,79,13.474577
21.0,73,15.120375
65.0,91,15.175571
45.0,74,15.219197
62.0,77,15.266553
39.0,80,15.314458
192.0,86,15.366431
47.0,87,15.416724
24.0,66,15.455481
55.0,80,15.502314
83.0,86,15.552715
155.0,75,15.597109
54.0,77,15.641059
46.0,82,15.691068
32.0,79,15.737085
69.0,82,15.78485
50.0,79,15.882719
40.0,79,16.008378
39.0,78,16.113126
64.0,80,16.170401
46.0,75,16.240152
52.0,79,16.284574
51.0,79,16.332972
46.0,86,16.381381
41.0,77,16.427589
132.0,73,16.469254
52.0,87,18.07825
62.0,86,18.13077
34.0,79,18.174383
46.0,83,18.221711
52.0,88,18.269792
41.0,81,18.315493
72.0,77,18.35763
48.0,82,18.402459
36.0,75,18.444652
29.0,83,18.490154
44.0,86,18.541567
57.0,90,18.591273
57.0,84,18.638523
63.0,81,18.68331
59.0,84,18.730979
190.0,93,18.782406
176.0,95,18.835645
163.0,87,18.887996
33.0,82,18.934368
52.0,84,18.982402
47.0,89,19.031592
47.0,74,19.073963
68.0,77,19.119
81.0,84,19.167056
58.0,86,19.22097
30.0,72,20.890828
64.0,92,20.943552
169.0,87,20.991483
182.0,92,21.043321
68.0,88,21.092009
71.0,81,21.137534
75.0,93,21.189021
65.0,82,21.234389
42.0,78,21.278622
51.0,85,21.324927
164.0,77,21.36839
31.0,79,21.412128
40.0,80,21.456941
61.0,76,21.498997
74.0,89,21.551001
90.0,85,21.60146
48.0,81,21.647294
27.0,67,21.685691
36.0,71,21.725377
154.0,74,21.766637
33.0,71,21.810765
76.0,77,21.853923
152.0,82,21.903543
30.0,71,21.94274
58.0,84,21.990788
48.0,83,23.610772
45.0,80,23.659653
80.0,93,23.711044
42.0,85,23.758789
54.0,78,23.80236
40.0,82,23.84729
42.0,76,23.890503
46.0,88,23.943221
187.0,90,23.994325
45.0,80,24.038486
31.0,79,24.083059
20.0,78,24.125915
48.0,75,24.166552
49.0,81,24.212013
55.0,78,24.254607
43.0,72,24.295263
44.0,79,24.341758
53.0,85,24.389834
26.0,83,24.435272
58.0,80,24.478798
51.0,81,24.524058
51.0,82,24.573836
85.0,84,24.634162
47.0,78,24.684832
96.0,83,24.737574
34.0,78,24.804307
93.0,82,26.402497
80.0,90,26.452451
72.0,81,26.500165
104.0,92,26.55236
291.0,101,26.615057
74.0,95,26.676614
155.0,89,26.726075
82.0,89,26.778657
35.0,74,26.822714
64.0,80,26.866796
69.0,85,26.914566
44.0,84,26.960438
37.0,84,27.00781
56.0,75,27.048629
73.0,95,27.101564
157.0,82,27.14663
87.0,87,27.195593
59.0,79,27.239002
61.0,84,27.284771
50.0,88,27.334046
59.0,83,27.379276
61.0,88,27.428274
42.0,87,27.475822
65.0,89,29.075624
78.0,81,29.124663
34.0,71,29.165175
187.0,95,29.219223
194.0,90,29.268803
44.0,84,29.31599
155.0,83,29.365366
54.0,80,29.41225
152.0,82,29.458598
72.0,84,29.505147
71.0,79,29.550053
212.0,99,29.606318
164.0,92,29.658896
27.0,69,29.69783
58.0,80,29.749365
40.0,84,29.84879
96.0,92,29.901518
73.0,82,29.948156
174.0,83,29.999141
54.0,82,30.045304
57.0,95,30.119596
56.0,79,30.166233
95.0,94,30.218119
56.0,86,30.26927
166.0,82,30.315001
152.0,80,31.915556
81.0,90,31.967008
175.0,94,32.018996
174.0,87,32.068073
61.0,91,32.119629
162.0,87,32.186782
86.0,86,32.24451
53.0,83,32.296957
203.0,95,32.367186
40.0,80,32.422914
54.0,80,32.482726
65.0,84,32.529391
172.0,84,32.578749
77.0,88,32.626725
65.0,88,32.676742
307.0,95,32.728978
64.0,81,32.774366
67.0,93,32.825412
50.0,73,32.865225
38.0,80,32.910329
58.0,83,32.955529
63.0,75,32.997658
95.0,88,33.045583
77.0,89,33.095198
210.0,88,34.752067
41.0,82,34.805923
86.0,88,34.860618
65.0,82,34.912935
107.0,87,34.961948
105.0,97,35.017807
52.0,89,35.069336
77.0,88,35.122166
81.0,90,35.173091
97.0,96,35.229735
42.0,75,35.274165
61.0,83,35.321814
49.0,83,35.369662
78.0,84,35.419089
162.0,86,35.46795
173.0,97,35.523747
64.0,83,35.569604
69.0,83,35.616168
38.0,77,35.658448
168.0,83,35.712659
78.0,90,35.779648
60.0,83,35.837775
65.0,80,35.886675
299.0,103,37.534698
83.0,90,37.585705
161.0,78,37.630767
41.0,81,37.676347
184.0,97,37.73163
87.0,93,37.785482
53.0,84,37.850511
60.0,87,37.90627
68.0,96,37.970954
170.0,84,38.029299
71.0,86,38.093435
81.0,86,38.14691
218.0,99,38.201749
44.0,92,38.255183
177.0,88,38.303994
174.0,83,38.350627
196.0,81,38.394886
166.0,87,38.443513
81.0,98,38.497355
52.0,93,38.550039
88.0,79,38.594459
78.0,88,38.643273
68.0,88,38.693395
54.0,93,40.356729
81.0,82,40.403634
99.0,92,40.456142
77.0,86,40.504719
76.0,87,40.553975
40.0,73,40.593875
58.0,79,40.637798
82.0,84,40.686168
172.0,87,40.735934
89.0,92,40.788524
97.0,87,40.854272
49.0,74,40.905134
57.0,80,40.95806
72.0,84,41.012385
53.0,83,41.068101
67.0,85,41.132829
73.0,76,41.181308
46.0,83,41.22731
56.0,77,41.270936
64.0,83,41.31828
45.0,84,41.364649
69.0,96,41.418798
33.0,83,41.46445
64.0,93,41.516683
49.0,90,41.565817
69.0,88,43.25091
93.0,89,43.304978
55.0,78,43.350365
78.0,85,43.401109
200.0,89,43.452407
168.0,84,43.502836
79.0,84,43.550846
133.0,97,43.606715
113.0,88,43.657215
73.0,86,43.709087
53.0,88,43.760434
78.0,88,43.811432
157.0,84,43.861115
67.0,82,43.908584
88.0,84,43.960657
208.0,102,44.020844
68.0,86,44.070329
46.0,79,44.121316
82.0,84,44.169245
296.0,88,44.299184
74.0,87,44.353431
69.0,74,44.396631
90.0,88,44.446146
55.0,80,44.490344
81.0,87,46.326863
51.0,80,46.37139
113.0,87,46.419374
57.0,88,46.473513
69.0,83,46.521794
82.0,88,46.57212
121.0,95,46.627846
49.0,84,46.67538
53.0,83,46.720772
56.0,91,46.771673
81.0,96,46.828929
54.0,77,46.872964
67.0,82,46.918306
82.0,83,46.980206
61.0,79,47.049102
291.0,95,47.103006
54.0,86,47.150398
107.0,88,47.200134
90.0,90,47.249975
79.0,78,47.294035
163.0,92,47.345195
178.0,84,47.392733
172.0,89,47.441546
86.0,92,49.139299
69.0,92,49.212235
155.0,86,49.271737
63.0,79,49.321761
99.0,91,49.381105
92.0,86,49.436002
89.0,84,49.499775
49.0,78,49.553491
163.0,83,49.601017
90.0,92,49.654044
66.0,89,49.704948
206.0,99,49.760742
31.0,76,49.819418
91.0,89,49.882
68.0,88,49.939698
85.0,96,49.995261
60.0,85,50.043935
67.0,81,50.088708
126.0,99,50.145258
64.0,83,50.196031
47.0,77,50.242853
59.0,81,50.288077
78.0,91,50.340232
73.0,86,50.387588
102.0,86,52.127807
193.0,88,52.182725
57.0,73,52.225405
72.0,82,52.271563
202.0,88,52.32025
78.0,87,52.369748
81.0,89,52.423545
64.0,82,52.473922
195.0,92,52.525408
93.0,88,52.581388
74.0,87,52.632906
78.0,80,52.679171
68.0,88,52.732084
66.0,88,52.782512
159.0,84,52.832329
66.0,89,52.886563
79.0,83,52.934359
84.0,89,52.987949
82.0,90,53.039664
188.0,96,53.099279
165.0,85,53.146819
113.0,89,53.198075
50.0,92,53.250352
72.0,82,53.297752
182.0,92,55.03981
87.0,83,55.089672
87.0,77,55.134401
94.0,97,55.192419
70.0,82,55.240081
55.0,69,55.280597
171.0,91,55.331688
78.0,84,55.379756
61.0,86,55.428578
64.0,83,55.475889
100.0,92,55.528122
71.0,89,55.579535
69.0,87,55.629005
89.0,90,55.698463
83.0,87,55.748034
81.0,95,55.802238
64.0,78,55.845735
98.0,91,55.899268
88.0,93,55.952243
74.0,90,56.004614
101.0,92,56.055939
314.0,94,56.109915
48.0,80,56.154959
104.0,92,58.11722
216.0,95,58.175451
101.0,98,58.246132
199.0,94,58.30732
75.0,81,58.35641
97.0,91,58.424994
38.0,76,58.482743
48.0,75,58.533327
95.0,86,58.589041
72.0,91,58.645042
97.0,85,58.694987
124.0,95,58.751947
56.0,82,58.799409
220.0,103,58.85965
230.0,102,58.918496
79.0,88,58.969446
81.0,79,59.014605
60.0,82,59.062762
85.0,90,59.114848
39.0,82,59.169246
63.0,83,59.217341
176.0,96,59.277944
71.0,86,59.327959
192.0,89,61.115504
66.0,93,61.173852
92.0,95,61.229936
111.0,93,61.29351
74.0,96,61.350377
79.0,88,61.403026
75.0,86,61.457561
177.0,83,61.506088
178.0,89,61.557411
202.0,96,61.614647
318.0,97,61.670304
69.0,85,61.721085
85.0,94,61.775838
57.0,82,61.830296
174.0,76,61.874356
