#{"t_start": 1744343419.331477, "env_id": "None"}
r,l,t
77.0,83,61.924006
50.0,84,61.973409
74.0,89,62.026919
320.0,95,62.082595
93.0,91,62.135941
72.0,86,62.190029
59.0,93,62.246046
40.0,77,62.295391
76.0,86,64.153248
88.0,87,64.208074
214.0,98,64.266189
75.0,83,64.315371
225.0,99,64.373601
75.0,85,64.424532
184.0,93,64.480372
71.0,78,64.535547
71.0,78,64.587835
217.0,90,64.64679
168.0,85,64.701567
82.0,84,64.756661
188.0,93,64.815914
112.0,86,64.869201
115.0,85,64.933292
93.0,93,65.080096
65.0,74,65.126473
68.0,83,65.177201
96.0,89,65.231128
74.0,86,65.287449
46.0,84,65.341089
51.0,75,65.386462
43.0,76,65.438208
197.0,99,65.499177
91.0,101,67.345786
122.0,92,67.410014
73.0,89,67.465372
46.0,78,67.517847
199.0,95,67.57851
308.0,95,67.636148
104.0,93,67.695679
209.0,92,67.75326
187.0,94,67.819727
94.0,91,67.873628
198.0,84,67.925154
89.0,88,67.9782
195.0,93,68.03545
73.0,82,68.097141
184.0,82,68.155277
109.0,90,68.209261
67.0,83,68.260026
92.0,82,68.314752
97.0,89,68.379938
87.0,93,68.442442
59.0,92,68.498524
195.0,92,68.556041
106.0,83,68.605766
92.0,87,70.431336
108.0,92,70.489365
86.0,87,70.549678
103.0,85,70.601344
86.0,83,70.653624
49.0,83,70.703302
100.0,90,70.758247
86.0,84,70.816498
66.0,87,70.876972
183.0,93,70.934559
76.0,91,70.993013
69.0,78,71.047584
75.0,79,71.117142
206.0,93,71.186171
85.0,79,71.245364
97.0,83,71.302949
61.0,72,71.353689
65.0,88,71.415821
164.0,84,71.472979
103.0,85,71.617313
58.0,92,71.676913
62.0,84,71.88947
108.0,76,71.955763
89.0,86,72.084552
71.0,84,74.775232
72.0,75,74.830612
81.0,90,74.893837
67.0,92,75.023375
227.0,98,75.149949
264.0,109,75.223686
308.0,95,75.297003
306.0,95,75.361318
74.0,76,75.412928
72.0,79,75.468665
90.0,95,75.530415
89.0,88,75.589316
106.0,83,75.644238
97.0,90,75.710436
234.0,96,75.777392
215.0,95,75.843275
285.0,95,75.909042
109.0,86,75.964092
88.0,89,76.023165
81.0,80,76.1003
59.0,87,76.159517
172.0,92,76.23148
165.0,89,76.291657
65.0,85,78.423872
189.0,91,78.489496
65.0,88,78.54931
67.0,82,78.607465
280.0,88,78.676353
85.0,82,78.749993
83.0,86,78.814585
71.0,89,78.884848
333.0,98,79.038528
298.0,93,79.100495
131.0,89,79.1581
102.0,94,79.22042
82.0,84,79.273331
207.0,84,79.326202
45.0,81,79.378765
228.0,98,79.441326
310.0,96,79.501494
200.0,94,79.561789
77.0,85,79.615817
98.0,90,79.677889
202.0,96,79.745861
103.0,93,79.810096
81.0,84,79.864299
100.0,98,82.392065
92.0,82,82.478313
86.0,87,82.551532
66.0,84,82.608496
25.0,67,82.65347
86.0,77,82.706698
204.0,92,82.771767
151.0,81,82.829654
194.0,93,82.898493
95.0,83,82.97301
171.0,89,83.039633
191.0,86,83.105876
80.0,87,83.168157
82.0,82,83.22437
143.0,87,83.287335
60.0,78,83.358658
303.0,90,83.435735
184.0,87,83.497429
218.0,94,83.567406
77.0,89,83.651557
105.0,77,83.880611
211.0,95,83.944648
214.0,100,84.013353
108.0,92,84.078752
303.0,91,87.819281
210.0,87,87.889916
61.0,82,87.948207
331.0,102,88.016204
106.0,87,88.085107
107.0,83,88.142888
154.0,96,88.212837
340.0,102,88.282513
68.0,83,88.336847
193.0,86,88.393564
81.0,85,88.452133
63.0,76,88.508761
46.0,72,88.557668
67.0,87,88.615606
113.0,96,88.682736
65.0,80,88.735606
118.0,89,88.806755
69.0,74,88.902108
62.0,82,88.964308
95.0,83,89.026052
59.0,80,89.082981
71.0,82,89.139567
204.0,99,89.209824
77.0,83,91.297119
72.0,78,91.350723
131.0,96,91.415849
59.0,73,91.463338
84.0,78,91.51568
217.0,93,91.581186
189.0,93,91.645133
318.0,91,91.706684
61.0,83,91.766155
451.0,102,91.842264
72.0,83,91.907584
76.0,85,91.966035
72.0,83,92.022169
199.0,89,92.080624
65.0,79,92.134685
73.0,86,92.192445
92.0,93,92.257116
180.0,92,92.318299
86.0,86,92.381986
218.0,88,92.446474
178.0,83,92.503195
205.0,91,92.565945
208.0,88,92.628016
175.0,87,92.68687
300.0,98,95.228696
333.0,100,95.305668
98.0,90,95.369007
76.0,85,95.432444
191.0,90,95.499405
196.0,93,95.573063
321.0,92,95.715745
71.0,75,95.776569
195.0,92,95.947183
45.0,70,96.02902
93.0,76,96.158852
209.0,97,96.314861
77.0,83,96.540807
116.0,94,96.667936
209.0,95,96.752119
79.0,78,96.826314
86.0,80,96.908773
106.0,86,97.01566
88.0,87,97.101771
89.0,86,97.167431
81.0,84,97.227628
89.0,90,97.294486
78.0,83,97.360537
64.0,85,97.494643
91.0,96,99.877121
207.0,95,99.943915
182.0,89,100.005709
88.0,88,100.068409
172.0,93,100.132154
113.0,82,100.189114
185.0,98,100.257566
94.0,88,100.31674
110.0,75,100.370939
77.0,87,100.434264
97.0,90,100.506193
62.0,89,100.579097
192.0,88,100.64436
189.0,90,100.714904
123.0,92,100.789945
208.0,85,100.852281
62.0,84,100.909993
161.0,81,100.965429
325.0,96,101.037192
195.0,84,101.09564
104.0,88,101.155474
120.0,95,101.221942
107.0,88,101.28688
121.0,100,103.416001
114.0,86,103.473594
205.0,91,103.54493
118.0,92,103.622279
85.0,84,103.686189
192.0,86,103.756263
179.0,97,103.842492
93.0,82,103.900688
94.0,87,103.9632
87.0,80,104.030268
82.0,85,104.172609
80.0,89,104.244775
207.0,93,104.313723
93.0,88,104.38682
97.0,84,104.46091
68.0,83,104.520506
188.0,93,104.589545
78.0,81,104.6478
85.0,83,104.714511
74.0,81,104.778742
88.0,92,104.846415
101.0,93,105.200725
312.0,97,105.265017
198.0,93,107.506974
65.0,76,107.559005
219.0,93,107.629832
76.0,82,107.686634
56.0,81,107.742661
85.0,87,107.83
147.0,74,107.889098
85.0,88,107.95493
86.0,95,108.026384
205.0,87,108.089117
115.0,90,108.156169
81.0,86,108.218315
165.0,84,108.276448
60.0,88,108.338693
88.0,85,108.396312
59.0,78,108.452048
79.0,85,108.509841
216.0,94,108.57638
123.0,95,108.642181
106.0,89,108.702699
135.0,101,108.773752
69.0,90,108.840852
219.0,104,108.912062
84.0,80,111.337058
232.0,97,111.40831
277.0,90,111.474766
61.0,86,111.597583
118.0,93,111.664428
53.0,83,111.726623
106.0,86,111.787989
178.0,88,111.859229
71.0,88,111.926814
76.0,88,111.990025
218.0,90,112.057285
89.0,87,112.124644
85.0,90,112.189913
110.0,90,112.256838
112.0,92,112.323758
76.0,83,112.383091
233.0,100,112.457902
174.0,82,112.518104
206.0,94,112.583721
99.0,88,112.646568
138.0,100,112.716732
78.0,87,112.779247
91.0,81,112.838107
62.0,81,114.890247
201.0,85,114.954831
320.0,100,115.026464
103.0,78,115.081543
323.0,101,115.152704
65.0,85,115.213361
78.0,75,115.268311
47.0,79,115.323546
210.0,97,115.393073
128.0,99,115.462767
86.0,87,115.523486
209.0,94,115.590559
306.0,94,115.65602
349.0,103,115.735966
83.0,78,115.791583
96.0,91,115.85618
150.0,72,115.907437
74.0,87,115.970903
212.0,87,116.03187
89.0,90,116.094352
77.0,87,116.152987
117.0,98,116.22095
54.0,81,116.276316
216.0,99,118.356776
57.0,75,118.413395
69.0,83,118.471552
130.0,93,118.537244
88.0,85,118.595847
187.0,81,118.652072
177.0,82,118.708393
140.0,96,118.773616
99.0,91,118.839325
81.0,85,118.897015
219.0,94,118.962989
358.0,106,119.037609
190.0,92,119.103354
306.0,93,119.170951
317.0,88,119.235726
212.0,94,119.302442
224.0,99,119.38876
71.0,87,119.448992
75.0,82,119.506438
104.0,95,119.571542
79.0,81,119.627954
67.0,83,119.686535
127.0,94,119.752946
56.0,77,122.449678
67.0,77,122.507846
97.0,90,122.574187
92.0,88,122.640407
300.0,91,122.706762
72.0,88,122.766627
115.0,90,122.830033
211.0,94,122.893743
88.0,89,122.956028
91.0,90,123.019664
204.0,90,123.081122
65.0,79,123.140765
78.0,88,123.205116
130.0,97,123.274826
100.0,79,123.330476
213.0,96,123.397248
243.0,101,123.468482
214.0,97,123.535119
87.0,86,123.593729
80.0,86,123.65825
291.0,89,123.720583
192.0,95,123.789114
235.0,101,123.860869
118.0,85,125.92416
206.0,89,125.988931
99.0,90,126.051074
445.0,106,126.123145
133.0,92,126.196022
82.0,88,126.267763
71.0,76,126.335185
171.0,84,126.39455
69.0,84,126.451199
184.0,95,126.527314
85.0,76,126.609627
222.0,103,126.697224
410.0,104,126.781506
67.0,80,126.852726
216.0,99,126.924248
105.0,95,126.996112
139.0,91,127.060051
114.0,90,127.122863
75.0,82,127.178268
221.0,99,127.24777
134.0,94,127.312201
179.0,89,127.372919
102.0,86,127.452922
119.0,88,129.855884
115.0,94,129.924576
55.0,82,129.986506
191.0,89,130.047442
68.0,77,130.161704
108.0,81,130.257866
77.0,91,130.471608
225.0,96,130.60598
142.0,88,130.668427
105.0,97,130.741477
77.0,87,130.811775
104.0,89,130.877147
68.0,82,130.936355
108.0,87,130.996371
102.0,92,131.070153
296.0,92,131.135808
130.0,89,131.196165
103.0,97,131.264799
59.0,87,131.326937
87.0,80,131.384833
84.0,87,131.44674
205.0,95,131.511052
125.0,95,131.61089
341.0,97,133.905468
207.0,88,133.968381
333.0,98,134.034107
127.0,104,134.10637
107.0,93,134.171762
215.0,100,134.239368
104.0,93,134.303147
205.0,100,134.372467
206.0,98,134.438837
96.0,84,134.497166
81.0,88,134.557399
77.0,82,134.614647
325.0,88,134.673961
89.0,78,134.729287
216.0,96,134.795444
211.0,94,134.862621
192.0,87,134.925382
101.0,94,134.991117
57.0,83,135.055386
125.0,84,135.117855
59.0,93,135.190673
79.0,90,135.255042
299.0,89,137.374387
122.0,96,137.444802
76.0,86,137.506742
304.0,99,137.574571
241.0,97,137.643008
124.0,92,137.705638
223.0,106,137.778318
91.0,91,137.84194
54.0,79,137.895718
229.0,99,137.968841
84.0,87,138.036969
193.0,90,138.104092
90.0,93,138.172543
106.0,84,138.2315
92.0,90,138.296516
181.0,86,138.360725
97.0,89,138.422129
74.0,85,138.48251
244.0,104,138.557432
466.0,106,138.632685
125.0,86,138.693412
210.0,99,138.786479
397.0,91,141.240462
198.0,86,141.309733
202.0,90,141.382411
203.0,86,141.453595
226.0,98,141.533665
63.0,86,141.594461
50.0,86,141.657699
249.0,104,141.734133
281.0,98,141.804731
88.0,74,141.864157
166.0,85,141.930733
213.0,88,141.994245
104.0,94,142.060323
70.0,85,142.120911
125.0,92,142.189696
91.0,86,142.257038
96.0,87,142.328077
286.0,97,142.406261
77.0,84,142.476065
57.0,81,142.539963
63.0,83,142.604636
77.0,79,142.661871
213.0,97,142.731792
303.0,92,142.797284
78.0,84,145.069628
101.0,86,145.133815
58.0,75,145.18772
225.0,96,145.263783
231.0,96,145.332584
103.0,93,145.396308
188.0,91,145.461207
218.0,91,145.525679
177.0,96,145.593248
217.0,87,145.65492
90.0,84,145.715896
74.0,83,145.774367
118.0,95,145.839759
95.0,86,145.900468
210.0,99,145.969517
80.0,80,146.024212
118.0,94,146.091457
93.0,87,146.152046
311.0,100,146.224614
204.0,95,146.291229
112.0,96,146.361274
74.0,84,146.421247
96.0,83,148.486087
73.0,81,148.543596
53.0,78,148.600563
100.0,85,148.658896
59.0,75,148.711537
206.0,95,148.776631
72.0,90,148.840933
204.0,86,148.901207
94.0,95,148.967964
98.0,90,149.0315
124.0,95,149.096805
233.0,100,149.167966
87.0,88,149.337225
431.0,93,149.398876
205.0,92,149.463174
220.0,91,149.526274
98.0,90,149.590245
71.0,84,149.650755
239.0,96,149.718053
82.0,84,149.779862
211.0,94,149.846952
101.0,91,149.911289
134.0,98,149.98025
330.0,100,152.0484
363.0,104,152.123625
190.0,90,152.187988
63.0,86,152.248427
301.0,92,152.311919
93.0,84,152.370225
82.0,89,152.433697
124.0,95,152.501533
185.0,78,152.556068
227.0,97,152.625895
215.0,97,152.696862
233.0,104,152.772079
82.0,83,152.830603
90.0,77,152.884343
105.0,87,152.946001
163.0,78,153.001522
230.0,99,153.071016
198.0,88,153.134999
200.0,82,153.192003
184.0,80,153.250018
127.0,92,153.31272
92.0,88,153.377808
176.0,86,153.440494
65.0,80,155.518645
74.0,76,155.574928
175.0,91,155.640689
109.0,86,155.702738
72.0,85,155.764512
196.0,93,155.827833
213.0,94,155.895331
335.0,103,155.968249
71.0,71,156.019107
85.0,77,156.073643
218.0,103,156.145875
303.0,98,156.219982
184.0,87,156.283891
77.0,93,156.350935
98.0,85,156.411049
97.0,79,156.467898
104.0,91,156.531486
176.0,81,156.589633
106.0,86,156.64996
62.0,82,156.716375
305.0,92,156.78524
110.0,88,156.849471
259.0,99,156.926037
87.0,90,159.643546
107.0,85,159.70947
70.0,76,159.766067
83.0,81,159.825759
196.0,90,159.892466
85.0,77,159.945599
293.0,92,160.012421
115.0,97,160.082474
68.0,88,160.142858
92.0,80,160.202136
103.0,93,160.273451
210.0,98,160.343681
258.0,98,160.413746
314.0,102,160.485782
131.0,96,160.551953
205.0,90,160.616281
296.0,93,160.683373
181.0,85,160.760346
446.0,113,160.84244
71.0,79,160.896826
47.0,73,160.948952
82.0,86,161.008989
65.0,78,161.065585
68.0,75,161.118086
104.0,86,163.24284
82.0,84,163.312081
69.0,84,163.371864
62.0,69,163.418915
69.0,76,163.473932
98.0,84,163.532389
210.0,96,163.600355
106.0,85,163.659944
285.0,95,163.724973
104.0,96,163.801977
218.0,101,163.876492
134.0,88,163.938461
327.0,93,164.006197
245.0,100,164.104181
98.0,90,164.205697
303.0,97,164.306824
123.0,104,164.394891
116.0,83,164.450676
318.0,103,164.524648
351.0,101,164.626655
175.0,84,164.693163
99.0,85,164.755064
73.0,88,167.080685
192.0,93,167.151193
106.0,89,167.218354
88.0,90,167.283663
219.0,89,167.349095
134.0,93,167.415375
118.0,87,167.476158
363.0,103,167.552119
204.0,94,167.62051
215.0,89,167.683366
194.0,92,167.749782
117.0,98,167.817636
213.0,86,167.878377
313.0,94,167.954871
297.0,95,168.033689
83.0,88,168.095499
66.0,86,168.157733
60.0,77,168.21114
84.0,89,168.275285
73.0,89,168.33802
222.0,91,168.456353
376.0,108,168.538033
106.0,88,168.601827
200.0,91,170.988696
238.0,104,171.212659
228.0,94,171.323744
66.0,75,171.382328
84.0,80,171.453127
228.0,104,171.537397
212.0,93,171.607822
80.0,78,171.666663
318.0,95,171.739671
89.0,78,171.814578
62.0,78,171.881993
123.0,93,171.953683
63.0,90,172.016973
98.0,77,172.074192
245.0,98,172.144821
220.0,83,172.204282
471.0,105,172.2804
114.0,95,172.352623
89.0,73,172.404786
122.0,90,172.468723
75.0,87,172.530504
105.0,85,172.601323
62.0,69,172.652941
119.0,93,174.847336
72.0,86,174.910828
194.0,82,174.970846
89.0,95,175.038244
221.0,88,175.102165
72.0,85,175.162158
208.0,92,175.230107
93.0,84,175.29035
321.0,100,175.369255
102.0,94,175.439972
89.0,82,175.500187
251.0,95,175.572287
99.0,94,175.650917
238.0,100,175.728465
44.0,65,175.774347
88.0,92,175.852159
282.0,91,175.925832
89.0,77,175.986016
82.0,91,176.057195
210.0,91,176.125008
226.0,102,176.201386
199.0,89,176.266686
109.0,95,176.336977
81.0,74,178.553603
214.0,99,178.637041
68.0,83,178.701672
101.0,91,178.76702
178.0,95,178.834151
88.0,86,178.894555
238.0,97,178.965304
76.0,76,179.018104
120.0,91,179.083923
79.0,86,179.143859
308.0,103,179.218499
207.0,91,179.290494
93.0,81,179.357064
344.0,102,179.513687
171.0,106,179.587466
101.0,89,179.65586
220.0,99,179.739633
124.0,90,179.809815
66.0,75,179.868933
70.0,84,179.93575
72.0,81,179.994581
100.0,85,180.056012
303.0,97,180.125101
83.0,85,182.271375
