#{"t_start": 1744343419.333951, "env_id": "None"}
r,l,t
20.0,71,0.822261
10.0,59,0.858694
8.0,60,0.894645
27.0,68,0.934426
22.0,72,0.978509
10.0,60,1.014066
29.0,67,1.054568
14.0,63,1.093974
13.0,62,1.130853
26.0,59,1.164253
28.0,67,1.204673
22.0,65,1.241987
17.0,73,1.286896
18.0,60,1.32311
33.0,68,1.362979
45.0,76,1.410949
28.0,68,1.450528
18.0,64,1.490541
9.0,62,1.528221
48.0,77,1.575783
18.0,70,1.618374
27.0,63,1.65614
43.0,78,1.702095
21.0,64,1.740165
23.0,63,1.779694
8.0,59,1.817456
13.0,61,1.853105
12.0,63,1.891404
12.0,62,1.929721
23.0,68,1.970331
23.0,69,2.012325
8.0,60,3.962159
8.0,58,3.995362
29.0,66,4.034771
21.0,71,4.075785
25.0,73,4.11887
21.0,67,4.16004
37.0,72,4.201592
21.0,71,4.245156
32.0,72,4.286639
60.0,82,4.334335
44.0,79,4.37948
14.0,65,4.415135
38.0,70,4.456086
39.0,67,4.49312
35.0,66,4.530169
23.0,67,4.568279
142.0,78,4.611749
50.0,81,4.658438
33.0,76,4.718606
39.0,81,4.765636
16.0,67,4.804902
21.0,70,4.843892
71.0,83,4.891789
22.0,79,4.935038
49.0,78,4.980908
44.0,80,5.025683
24.0,59,5.059654
25.0,83,5.106293
35.0,72,6.703134
39.0,85,6.754734
34.0,73,6.809829
50.0,80,6.861855
14.0,75,6.908086
49.0,69,6.95278
36.0,70,6.995871
42.0,78,7.039988
25.0,64,7.076063
34.0,74,7.117191
38.0,65,7.155867
155.0,84,7.20448
28.0,78,7.247963
68.0,81,7.293552
30.0,69,7.331721
147.0,69,7.370898
17.0,72,7.411253
35.0,69,7.45196
51.0,87,7.504669
27.0,79,7.550571
32.0,69,7.59162
17.0,70,7.630757
55.0,80,7.676237
35.0,71,7.716636
28.0,74,7.758639
11.0,55,7.791066
22.0,71,7.830915
29.0,71,7.870251
46.0,82,9.462652
29.0,72,9.504183
67.0,89,9.555151
24.0,76,9.598953
49.0,71,9.638941
59.0,84,9.688953
47.0,72,9.744472
19.0,72,9.788016
65.0,89,9.840098
16.0,72,9.881702
17.0,71,9.922862
74.0,81,9.967757
36.0,72,10.011077
46.0,78,10.055733
63.0,78,10.101294
39.0,79,10.146221
57.0,74,10.188296
64.0,80,10.23433
43.0,74,10.275712
137.0,80,10.32273
39.0,73,10.363966
42.0,81,10.411424
38.0,71,10.452125
48.0,76,10.495717
50.0,84,10.544487
40.0,75,10.587649
21.0,71,12.280556
64.0,84,12.332462
65.0,89,12.383855
59.0,79,12.432251
27.0,71,12.476186
46.0,85,12.52691
44.0,78,12.571846
139.0,73,12.614152
46.0,81,12.661337
169.0,81,12.708131
39.0,74,12.751053
28.0,67,12.788199
25.0,68,12.828302
66.0,92,12.883908
56.0,79,12.931288
47.0,72,12.972856
27.0,88,13.022859
147.0,82,13.070774
61.0,93,13.123317
30.0,81,13.170655
28.0,80,13.215688
43.0,78,13.261806
46.0,85,13.309332
37.0,79,13.357697
47.0,79,13.401762
49.0,74,13.445845
22.0,67,15.088347
43.0,75,15.13412
40.0,68,15.174953
42.0,80,15.222091
40.0,78,15.270012
33.0,61,15.306878
42.0,76,15.352
42.0,74,15.395745
24.0,77,15.440143
37.0,74,15.484325
25.0,78,15.528965
44.0,75,15.574522
77.0,82,15.621738
30.0,77,15.666875
30.0,73,15.711281
39.0,80,15.756521
41.0,73,15.79961
34.0,73,15.947371
37.0,83,16.037645
57.0,83,16.139134
157.0,93,16.213696
48.0,81,16.267179
55.0,81,16.316553
29.0,76,16.359026
136.0,74,16.401737
57.0,83,16.450538
31.0,70,16.492113
56.0,86,18.101535
17.0,79,18.147037
59.0,87,18.194917
64.0,89,18.245338
87.0,83,18.291017
54.0,83,18.33755
64.0,95,18.389639
48.0,91,18.440516
48.0,77,18.482573
57.0,80,18.53061
25.0,70,18.569425
172.0,95,18.622417
44.0,83,18.668164
41.0,80,18.712983
59.0,82,18.759594
72.0,85,18.806321
75.0,96,18.8629
24.0,74,18.906257
70.0,88,18.956434
22.0,71,18.996202
62.0,84,19.043285
27.0,80,19.087717
32.0,83,19.136577
35.0,77,19.180645
44.0,87,19.234914
27.0,71,20.904631
76.0,82,20.951419
51.0,79,20.994974
40.0,83,21.041944
